GLWM_ACCUM
GLWM_ALPHA
GLWM_BUTTON_DOWN
GLWM_BUTTON_UP
GLWM_DEPTH
GLWM_DOUBLE
GLWM_INDEX
GLWM_LEFT_BUTTON
GLWM_MIDDLE_BUTTON
GLWM_MOD_ALT
GLWM_MOD_CONTROL
GLWM_MOD_SHIFT
GLWM_MOD_SUPER
GLWM_RGBA
GLWM_RIGHT_BUTTON
GLWM_SCROLL_DOWN_BUTTON
GLWM_SCROLL_UP_BUTTON
GLWM_SINGLE
GLWM_STENCIL
GLWM_STEREO
