KD_ISDIR
KD_ISREG
kdAbs
kdAccess
kdAcosf
kdAsinf
kdAtan2f
kdAtanf
kdCancelTimer
kdCeilf
kdClearerr
kdCloseDir
kdCosf
kdCreateEvent
kdCreateWindow
kdCryptoRandom
kdDefaultEvent
kdDestroyWindow
kdExit
kdExpf
kdFabsf
kdFclose
kdFEOF
kdFerror
kdFflush
kdFgets
kdFloorf
kdFmodf
kdFopen
kdFread
kdFree
kdFreeEvent
kdFseek
kdFstat
kdFtell
kdFtostr
kdFwrite
kdGetc
kdGetError
kdGetFree
kdGetLocale
kdGetTimeUST
kdGetTLS
kdGetWindowPropertybv
kdGetWindowPropertycv
kdGetWindowPropertyiv
kdGmtime_r
kdHandleAssertion
kdHtonl
kdHtons
kdInetAton
kdInetNtop
kdInstallCallback
kdInvsqrtf
kdIsNan
kdLocaltime_r
kdLogf
kdLogMessage
kdLtostr
kdMain
kdMalloc
kdMemchr
kdMemcmp
kdMemcpy
kdMemmove
kdMemset
kdMkdir
kdNameLookup
kdNameLookupCancel
kdNtohl
kdNtohs
kdOpenDir
kdOutputSetf
kdOutputSeti
kdPostEvent
kdPostThreadEvent
kdPowf
kdPumpEvents
kdPutc
kdQueryAttribcv
kdQueryAttribi
kdQueryIndexedAttribcv
kdReadDir
kdRealizeWindow
kdRealloc
kdRemove
kdRename
kdRmdir
kdRoundf
kdSetError
kdSetEventUserptr
kdSetTimer
kdSetTLS
kdSetWindowPropertybv
kdSetWindowPropertycv
kdSetWindowPropertyiv
kdSinf
kdSocketAccept
kdSocketBind
kdSocketClose
kdSocketConnect
kdSocketCreate
kdSocketGetName
kdSocketListen
kdSocketRecv
kdSocketRecvFrom
kdSocketSend
kdSocketSendTo
kdSqrtf
kdStat
kdStateGetf
kdStateGeti
kdStateGetl
kdStrchr
kdStrcmp
kdStrcpy_s
kdStrlen
kdStrncat_s
kdStrncmp
kdStrncpy_s
kdStrnlen
kdStrtof
kdStrtol
kdStrtoul
kdTanf
kdThreadAttrCreate
kdThreadAttrFree
kdThreadAttrSetDetachState
kdThreadAttrSetStackSize
kdThreadCondBroadcast
kdThreadCondCreate
kdThreadCondFree
kdThreadCondSignal
kdThreadCondWait
kdThreadCreate
kdThreadDetach
kdThreadExit
kdThreadJoin
kdThreadMutexCreate
kdThreadMutexFree
kdThreadMutexLock
kdThreadMutexUnlock
kdThreadOnce
kdThreadSelf
kdThreadSemCreate
kdThreadSemFree
kdThreadSemPost
kdThreadSemWait
kdTime
kdTruncate
kdUltostr
kdUSTAtEpoch
kdWaitEvent
